id,target
1781,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1782,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1785,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1786,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1787,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
1788,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1789,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1790,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1792,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1793,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1794,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
1796,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
1797,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1798,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1799,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1]"
60,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]"
1802,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
62,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
64,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
65,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]"
66,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
1805,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
1806,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
68,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1809,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
71,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
72,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1810,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
74,"[1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]"
1811,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
75,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]"
1812,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
1813,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
77,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
1815,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
78,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]"
1816,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
79,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]"
81,"[1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]"
1818,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
82,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
1819,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
83,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
1820,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
85,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1]"
86,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
1821,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
88,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
89,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1]"
90,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1]"
91,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1823,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]"
92,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
94,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
1824,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1825,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
95,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
1826,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
1827,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
97,"[0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1]"
98,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]"
1828,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
99,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]"
101,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]"
1830,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
103,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
1831,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
105,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
106,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
107,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
108,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1833,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
110,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
112,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
113,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1835,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1836,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
114,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1837,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
115,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
116,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1838,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
117,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1839,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
118,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
119,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
120,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
121,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1840,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
122,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
1841,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
125,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
126,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
1843,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
127,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
128,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
129,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
1844,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
130,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
131,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
132,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
1848,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
133,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
1849,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]"
1851,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
136,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
137,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1852,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
138,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
139,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
140,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
1853,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
142,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
1855,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
143,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1856,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
144,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
145,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1858,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1]"
146,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
147,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
148,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1863,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
150,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0]"
151,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
153,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
154,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
1866,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
1867,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
155,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0]"
1868,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0]"
156,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0]"
1869,"[0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0]"
1870,"[0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0]"
158,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1871,"[0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0]"
159,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
160,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
161,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
162,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1874,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
164,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1875,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
165,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1876,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
167,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1877,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
169,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
171,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1879,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
1880,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
172,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
1881,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
174,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
1882,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
176,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
1883,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
177,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]"
180,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0]"
1884,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
181,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
1885,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
182,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
1886,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
1887,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
183,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
184,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
185,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
1889,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
186,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0]"
1890,"[0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]"
187,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
1891,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0]"
189,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
190,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
191,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
1892,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]"
1893,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]"
192,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
193,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
1895,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0]"
1896,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
195,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
197,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
198,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1899,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
200,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1901,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
202,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
203,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
204,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1903,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
205,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1904,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1905,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1906,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
206,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1907,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
207,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1908,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1909,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
209,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1910,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1911,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
213,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]"
214,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
215,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
1913,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
216,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
217,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
1914,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0]"
1916,"[0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0]"
222,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
1917,"[0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0]"
223,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
224,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
225,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
227,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
1919,"[0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0]"
228,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
1920,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]"
1921,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]"
230,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
232,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1923,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]"
1925,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0]"
234,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
235,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1926,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0]"
236,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1928,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]"
241,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
242,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
243,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1930,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
1931,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
244,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
245,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1933,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
248,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
249,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
250,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
1935,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
253,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
255,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]"
256,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]"
1938,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0]"
258,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
260,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
262,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
264,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
265,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1941,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1]"
267,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1942,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1]"
268,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
269,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
271,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1943,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1]"
1944,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1]"
273,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
274,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1945,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1]"
275,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1946,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]"
276,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
277,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
280,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
